id;name;expense_type;distribution_id;line_number;description;quantity;unit_price;tax_rate;tax_desc;tax_amount;line_amount;gross_line_amount;confirmer_id;po_request_by;uom;debit_credit_indicator;available_qty;additional_cost_per_unit;tax_base_amount;invoice_qty;invoice_unit_price;vat_tax_rate;confirmer_name;available_expectedvalue;available_limit_value;expected_value;actual_limit;overall_limit;limit_order_expiry_date;limit_order_start_date;vat_tax_code;internal_order_statistical;debit_credit_value;delivery_note;reason;created_at;created_by
1;attitude;Fantastic Steel Soap;extensible array Washington;39551;Tasty Cotton Tuna;Factors bandwidth User-friendly;2489;40478;matrices Agent;35337;21087;13449;Metrics Intelligent Soft Ball;hacking open-source;orange;Connecticut Gorgeous Concrete Shirt;1001;55166;40849;84270;91615;56623;integrate;54673;syndicate full-range;29161;48066;49633;2020-06-01T07:56:35;2020-06-01T21:02:50;transitional;Investment Account;77194;Frozen;Ohio;2020-06-01T07:18:44;Customer process improvement
2;lavender copy;structure solid state;Metal;25605;Credit Card Account channels Steel;portals Books yellow;2612;41309;Implementation Wooden Mauritius;75895;30886;99717;Hryvnia;override global;withdrawal Ergonomic;virtual firewall;39511;74993;99890;64264;55326;81933;transmitter throughput;61942;generating Tasty Parkway;48691;40861;98926;2020-05-31T22:36:46;2020-06-01T18:02:22;Buckinghamshire;Cotton multi-byte;9721;Refined Soft Soap Automotive;monetize Views;2020-06-01T12:18:53;maximize bypassing next-generation
3;SMS deposit;target overriding;Japan Money Market Account;80179;Groves back up;cultivate bricks-and-clicks Plastic;5188;2294;quantifying Direct;58234;50796;28594;Fantastic Fresh Cheese synthesize generate;scalable morph;Research Mill JBOD;Salad yellow Sleek;72749;79503;63455;9766;90413;5671;National;40891;Fully-configurable Credit Card Account;70250;22931;63318;2020-06-01T10:42:05;2020-06-01T11:50:24;Robust PCI Wisconsin;Texas SQL Marketing;79867;Tugrik Tools teal;groupware black;2020-06-01T06:38:37;Fish Chips
4;invoice Directives;Officer Games;Wooden Zloty;52365;Chilean Peso Unidades de fomento;e-markets directional;41889;12399;Consultant;29226;20163;20026;deposit Shoes Borders;Personal Loan Account;virtual South Georgia and the South Sandwich Islands Azerbaijanian Manat;Synchronised SSL;66454;75216;22145;44191;59048;90532;Savings Account;23147;bypass Steel Principal;25527;90898;65467;2020-06-01T15:50:54;2020-06-01T13:42:37;Incredible;Rand;84501;Mouse;task-force best-of-breed;2020-06-01T03:48:42;pink extensible Frozen
5;HTTP;methodologies;national Borders Connecticut;62898;Open-source productize Credit Card Account;Research lavender Analyst;96600;46781;Jordan Namibia SMS;38766;44096;67321;global Fish;AGP Cambridgeshire Metal;Handmade;invoice channels;79124;96687;75628;24901;88942;82340;RAM online;45405;open-source Syrian Arab Republic;65014;27932;44441;2020-06-01T14:37:27;2020-06-01T18:58:04;Alley Refined Soft Chair;Internal;16236;Bedfordshire enterprise;budgetary management;2020-06-01T21:02:28;Brazil Pants
6;quantify;next-generation;New Mexico Nuevo Sol Home Loan Account;2201;Frozen eco-centric Handcrafted Metal Bacon;leverage SMS magnetic;68032;85424;neural navigating program;80934;81067;78808;Web matrix eco-centric;deposit Credit Card Account;Group New Jersey synthesizing;Junction systemic;9151;88210;21753;36468;19487;87339;Integration;54343;Cambridgeshire Tuna;76530;42118;92800;2020-06-01T18:12:42;2020-06-01T08:25:38;programming Streamlined maroon;JBOD Refined Avon;74453;Synchronised strategic;Chicken;2020-06-01T17:31:14;asymmetric
7;payment;Response;Orchestrator;83743;deliver;Designer Cambridgeshire Coordinator;32535;36850;leading-edge Massachusetts mobile;45025;31094;83055;vertical;Wallis and Futuna;Common Refined Ergonomic;incubate grid-enabled;46164;40406;62269;27640;76988;28152;Lithuanian Litas hard drive;25158;Directives monetize;69738;18825;57676;2020-06-01T10:13:53;2020-06-01T11:48:01;Garden Corporate Cambridgeshire;bluetooth RAM;53641;Rest Pizza;Bedfordshire Refined Concrete Car Corporate;2020-06-01T11:16:07;capacitor
8;Cambridgeshire Michigan Chicken;View;Libyan Arab Jamahiriya;23812;generating revolutionary;target Re-contextualized;82819;77720;Light Avon;998;65974;77181;Rhode Island;XML;vertical Borders Visionary;Square Cotton;97227;74940;13416;24723;29608;36879;Chicken matrix Practical Granite Keyboard;89921;Handcrafted Frozen Cheese viral back up;48372;74785;65182;2020-06-01T11:14:01;2020-05-31T22:40:16;deposit;payment;26650;override;Bedfordshire Regional;2020-06-01T08:13:45;disintermediate Canyon
9;Plastic;one-to-one;strategic middleware Unbranded;39015;Avon embrace neural;hacking;20459;60255;compressing multi-byte;36271;26129;96330;Cambridgeshire Checking Account;Optimization Representative Soft;Intelligent stable;synthesizing;82177;54283;52090;35763;82489;98940;Cambridgeshire;83788;interface invoice;39177;66389;46435;2020-06-01T10:38:00;2020-06-01T20:56:42;Regional Louisiana;Bedfordshire content-based;39831;black;Cambridgeshire;2020-06-01T05:39:53;Borders utilize
10;grey Forward;Latvia Small Fresh Bike indigo;microchip Movies;64408;Multi-channelled Synergized streamline;International;73619;7682;AI;80957;56092;22176;Cotton Director;payment;Consultant synergies;Home Loan Account reinvent;24114;19729;65966;64008;6836;43958;card;8164;Kip synergy hard drive;21065;44025;6990;2020-06-01T11:20:01;2020-06-01T18:49:44;Wooden Ouguiya Handcrafted Granite Mouse;array;23776;Illinois Iraqi Dinar;Ergonomic Soft Fish;2020-06-01T00:52:12;24/7 Solomon Islands Dollar
