id;status;assignee;comments;time_elapased_in_current_status;created_at;created_by
1;clicks-and-mortar moderator;back up;Parks generate;seize;2020-06-01T20:44:13;SMTP
2;Springs Coordinator data-warehouse;feed sky blue Architect;Refined Granite Sausages;hacking;2020-06-01T10:57:31;heuristic Avon
3;copy optimize;purple Chief payment;transition Buckinghamshire;Baby Savings Account;2020-06-01T06:59:09;XML Handcrafted
4;Beauty Tugrik input;copy Response;ADP;International Tanzania connect;2020-05-31T22:09:25;Graphic Interface Legacy bus
5;Bolivar Fuerte;Refined;cross-platform;gold;2020-05-31T22:49:18;Moroccan Dirham
6;array;Infrastructure;Product overriding product;silver Plains;2020-06-01T01:38:14;Branding
7;mindshare program Keyboard;Iowa Buckinghamshire Ergonomic;SMTP;Solomon Islands calculate;2020-06-01T12:31:59;mint green Common
8;azure Trail digital;Tools Money Market Account;payment Practical Vermont;maroon Handcrafted;2020-06-01T03:13:20;Steel Metrics matrix
9;Seychelles Rupee payment;Pants Bedfordshire;brand whiteboard;system-worthy;2020-05-31T22:15:02;Architect Dynamic
10;Hong Kong Dollar Generic;cohesive Cotton payment;circuit methodologies;e-business Quality;2020-06-01T12:52:18;Mouse Hill Pants
