id;grn_number;grn_line_number;grn_quantity;grn_type;delivery_note;is_open
1;SAS Mountains Credit Card Account;Towels Home Loan Account;51819;PO;Human Savings Account solid state;true
2;optical reintermediate;analyzing sticky;90240;PO;cyan AGP Generic Soft Gloves;false
3;paradigm Car;Mobility;91871;PO;backing up;true
4;Outdoors;Customer North Carolina;58666;PO;Corporate Chicken;true
5;Ball Sleek compressing;Lead Illinois Freeway;36058;INVOICE;North Dakota;true
6;Garden Unbranded;Rue Global;78406;INVOICE;Bedfordshire;true
7;salmon Investment Account compress;Licensed Wooden Towels;5741;INVOICE;transmit Estates Iceland;true
8;Credit Card Account North Korean Won;Practical Granite Soap;18560;PO;quantifying;true
9;Paradigm seize Car;Human European Monetary Unit (E.M.U.-6);29442;INVOICE;orchid content THX;true
10;zero tolerance analyzer TCP;backing up Credit Card Account Czech Republic;22735;INVOICE;JSON GB;false
