id;source;source_details;sender_mail_id;file_path;file_name;reason;file_extension;type;document_type;document_category;client_id;client_details;protocol;created_at;created_by
1;FAX;forecast;sticky;Checking Account;Baby throughput;Comoros;haptic deposit;PNG;PURCHASE_ORDER;INVOICE;European Unit of Account 17(E.U.A.-17) input Pizza;withdrawal Supervisor models;sticky;2020-06-01T18:56:09;Product communities
2;MAIL;Crossing Rustic;copy Concrete;Games Licensed Concrete Shirt;Auto Loan Account 24/7;PCI holistic neural;Analyst Gorgeous Steel Chips Mauritius;PDF;INVOICE;PO;radical Licensed array;Sleek Pants;dot-com;2020-06-01T14:34:56;streamline Investor
3;SFTP;Wooden withdrawal Engineer;Licensed Fresh Table Rustic;Principal;optical withdrawal Versatile;24/7;online;RTF;PURCHASE_ORDER;INVOICE;Tasty Fresh Fish Industrial;connect array Quality;parsing;2020-06-01T12:46:06;Central
4;FAX;Enhanced Alaska;calculate;SQL;hacking Associate;killer Personal Loan Account Computers;indexing mobile payment;PNG;INVOICE;INVOICE;National driver input;Metal invoice;Avon Practical Plastic Table;2020-06-01T01:19:06;Frozen gold real-time
5;FAX;Buckinghamshire Arkansas;project Consultant Plastic;wireless;Russian Ruble Exclusive relationships;paradigms Investment Account;circuit;JPEG;PURCHASE_ORDER;PO;Uzbekistan Sum Refined;Practical;tangible;2020-06-01T18:52:56;Shoal Customer Metical
6;FAX;District Pizza monetize;National Generic non-volatile;Checking Account;Buckinghamshire Developer;Consultant;card;JPEG;PURCHASE_ORDER;PO;auxiliary;payment engineer Guatemala;Lebanon;2020-06-01T06:48:09;turquoise
7;MAIL;Gorgeous Cotton Sausages Cambridgeshire Personal Loan Account;implement salmon;proactive;Practical Wooden Cheese;foreground;Colorado Manager Bacon;DOCX;INVOICE;INVOICE;Human;Refined Plastic Salad;benchmark;2020-06-01T09:30:59;Generic Licensed
8;FAX;Metal Soft;Garden visionary;Tasty;withdrawal Table technologies;Guinea-Bissau;Latvian Lats;DOCX;PURCHASE_ORDER;INVOICE;Bacon synergies;software asynchronous;Philippine Peso Berkshire Avon;2020-06-01T10:34:30;reciprocal
9;FAX;Configuration Rhode Island Benin;FTP applications;Mobility reboot Money Market Account;Branding;strategize;Cambridgeshire Handmade Frozen Mouse Dynamic;PNG;INVOICE;PO;JBOD Beauty Generic;Lek;asymmetric quantify Norwegian Krone;2020-06-01T09:22:54;Checking Account
10;FAX;forecast;JSON Cedi;stable;Handcrafted bandwidth-monitored;blue;magenta Handcrafted Steel Fish benchmark;PDF;PURCHASE_ORDER;INVOICE;Senior Fresh Rue;Cocos (Keeling) Islands Data scale;Practical IB generate;2020-06-01T01:05:06;Handmade Frozen Table Frozen cross-platform
