id;name;organization_code;org_name;country_key;finance_system;vat_registration_no;currency;language;created_at;created_by
1;Intelligent Cotton Gloves frame deposit;infrastructure microchip;payment Ergonomic;red Credit Card Account Ergonomic;withdrawal;Belarussian Ruble circuit Borders;US_DOLLAR;overriding Sri Lanka Rupee;2020-06-01T03:48:49;Open-source Implementation Glens
2;granular global;invoice;ADP Sleek Wooden Car;bypassing;navigating overriding cross-platform;generate Money Market Account CFP Franc;US_DOLLAR;white 1080p;2020-06-01T17:51:04;Parkway
3;green Compatible;Global capacitor Jamaican Dollar;optimize;New York Garden;Global Chicken Executive;Street;INDIAN_RUPEE;Rustic TCP;2020-06-01T11:19:42;PNG Creative
4;bypass indigo;payment Mouse Nebraska;Grocery Fantastic Wooden Fish;North Carolina Vision-oriented Multi-channelled;Sri Lanka bypass;Manager;INDIAN_RUPEE;Handcrafted Wooden Car Villages Program;2020-06-01T07:05:23;Chicken
5;Movies Personal Loan Account GB;hack Wells Florida;National parsing;Beauty;Metrics;virtual enterprise Integration;INDIAN_RUPEE;Idaho Concrete;2020-06-01T03:20:32;Guarani high-level
6;impactful;hierarchy deposit Auto Loan Account;frame Representative leading edge;Rubber seize Home Loan Account;Oklahoma Integration gold;User-friendly RAM;INDIAN_RUPEE;contextually-based JBOD;2020-06-01T05:30:04;wireless Ford
7;approach;Radial Buckinghamshire;back up port virtual;embrace Checking Account Response;Buckinghamshire;XSS Unbranded cultivate;INDIAN_RUPEE;Investment Account;2020-06-01T03:55:54;deposit cross-media Metal
8;payment Credit Card Account Awesome;Silver;eyeballs Fish connecting;withdrawal invoice;lime Cambridgeshire HDD;interface maximized;INDIAN_RUPEE;Graphic Interface;2020-06-01T16:48:00;Integration New Hampshire
9;Refined;alarm hacking methodical;SAS Senior;archive;Representative Generic Plastic Gloves platforms;Gorgeous Granite Computer;INDIAN_RUPEE;Refined Marketing;2020-06-01T01:48:19;Synergized driver orange
10;Credit Card Account XSS;Granite Small Rubber Salad;Baby Albania;Dynamic Soft Graphic Interface;Mauritania withdrawal Illinois;circuit Lithuania Mountains;INDIAN_RUPEE;Unbranded Steel Computer;2020-06-01T10:10:05;Dominican Peso backing up homogeneous
