id;serial_no;amount;type;requested_by;creation_date;receipt_required;status;company_code;currency_code;created_at;created_by
1;SDD;51410;bypass Plastic;contextually-based;2020-06-01T15:25:35;false;CANCELLED;upward-trending;AMD;2020-06-01T19:07:03;applications help-desk
2;Fantastic Granite Salad Bond Markets Units European Composite Unit (EURCO) Associate;37207;violet;Usability Music;2020-06-01T20:39:23;true;CLOSED;Synchronised;FJD;2020-06-01T08:32:44;Buckinghamshire Incredible
3;Nebraska proactive Baht;78336;Salad Soft;override Rustic Shirt;2020-06-01T09:18:57;false;CANCELLED;Personal Loan Account middleware;TTD;2020-06-01T09:04:36;brand Iowa FTP
4;Netherlands Infrastructure;84847;circuit Hat;Steel pixel;2020-06-01T14:56:35;false;CANCELLED;Steel;BDT;2020-05-31T23:30:29;Massachusetts backing up Versatile
5;coherent COM Arkansas;74686;Paradigm e-services Brand;bypass infrastructures Grocery;2020-06-01T00:02:50;true;CANCELLED;Senior wireless;BDT;2020-06-01T10:27:15;deposit alliance
6;primary;61677;interactive Lead;AGP;2020-06-01T11:56:47;true;CANCELLED;Borders;ZAR;2020-05-31T21:57:55;multimedia Wooden
7;South Africa;21726;Ergonomic Frozen Gloves turquoise Granite;digital Ergonomic Granite Bacon PCI;2020-06-01T11:04:11;false;CANCELLED;quantify Buckinghamshire;HTG USD;2020-06-01T05:00:16;Brand Chips
8;compressing;84067;cross-platform;solutions;2020-06-01T06:04:28;true;CLOSED;Fresh Fantastic Wooden Table auxiliary;TRY;2020-06-01T00:43:44;core Home Loan Account
9;RSS Diverse;19377;overriding Eritrea;Micronesia circuit Engineer;2020-05-31T22:23:28;false;CLOSED;Money Market Account;MKD;2020-06-01T03:18:31;optimal Tasty Concrete Tuna
10;Sri Lanka plum;10075;Generic Bacon Wyoming;Cambridgeshire;2020-06-01T11:13:25;false;CLOSED;Soap monetize;TTD;2020-06-01T20:33:51;Investment Account RSS
