id;assignment_date;assigned_to;assigned_by;set_sla;assignment_status;percentage_completed;assignment_mode;created_at;created_by
1;2020-06-01T02:18:13;24/7;Buckinghamshire;2020-06-01T04:51:56;protocol calculating;10492;AUTOMATIC;2020-06-01T01:17:36;Canadian Dollar pink
2;2020-06-01T07:54:59;fresh-thinking Guinea Franc Handcrafted Steel Mouse;New York;2020-06-01T04:29:59;neural-net;64405;AUTOMATIC;2020-06-01T12:58:21;Borders
3;2020-06-01T18:35:23;magenta Fantastic Nepal;Swiss Franc;2020-06-01T20:15:00;Multi-layered Assurance;28156;AUTOMATIC;2020-06-01T15:06:39;Handmade Wooden Hat object-oriented
4;2020-06-01T01:42:55;compressing hacking web services;bypassing synthesize;2020-06-01T20:11:59;Shoes Lead;34888;AUTOMATIC;2020-06-01T07:48:34;Beauty
5;2020-06-01T15:01:53;6th generation Ukraine;transition challenge;2020-06-01T20:07:06;bus AGP;20215;AUTOMATIC;2020-06-01T15:06:33;SDD
6;2020-05-31T21:51:53;Direct;synthesize hack;2020-06-01T21:04:03;Home Loan Account Incredible;54741;MANUAL;2020-06-01T16:10:59;driver Pizza
7;2020-06-01T15:33:06;channels Electronics;Cambodia;2020-06-01T20:23:12;Health Applications;55264;MANUAL;2020-06-01T08:19:33;Illinois
8;2020-06-01T15:27:24;static zero tolerance Mauritius Rupee;Antarctica (the territory South of 60 deg S);2020-06-01T16:28:14;card Credit Card Account Berkshire;51371;AUTOMATIC;2020-06-01T09:52:39;deploy next-generation
9;2020-06-01T09:48:39;driver;Burundi Franc circuit;2020-06-01T04:48:07;Upgradable FTP;8150;MANUAL;2020-06-01T00:55:58;Secured Avon withdrawal
10;2020-06-01T12:36:01;Reunion;Consultant SCSI holistic;2020-05-31T22:43:12;Indian Rupee generate;36614;AUTOMATIC;2020-06-01T07:20:31;connect
