id;assigned_by;actor;status;status_code;reason;reason_code;created_on;comments;delegate;delegated_flag;met_sla;created_at;created_by
1;Algerian Dinar Lead Rustic;back up calculate infrastructures;Open-source drive Data;Paraguay Practical Cotton Bacon;Cambridgeshire Implementation synthesizing;multi-byte;2020-06-01T13:23:01;Virginia monitor;Bedfordshire;true;Digitized Steel International;2020-06-01T09:35:16;Taiwan
2;AGP cutting-edge white;calculating;Executive United Kingdom;sensor architectures;Salad programming;Auto Loan Account parsing Soap;2020-06-01T20:02:17;Analyst SSL;Light encoding copy;true;wireless parse AI;2020-06-01T00:44:29;Junction backing up Avon
3;Toys Turnpike;Principal quantify Mexico;robust Fresh;Global Developer haptic;salmon Arkansas;Bedfordshire Technician Plaza;2020-06-01T00:25:46;Awesome Rubber Bike;Implementation port;true;back-end;2020-05-31T23:44:05;Auto Loan Account Savings Account
4;system;Enhanced Table;Representative copying International;copy local area network;Unbranded;monitor;2020-06-01T14:58:06;Unbranded project;customized;false;Team-oriented web services;2020-06-01T14:13:40;Reunion Tunnel New Zealand
5;Facilitator;e-services mission-critical Personal Loan Account;Optimized;United Kingdom Global;benchmark Small Metal Shoes embrace;transform;2020-05-31T23:59:18;invoice Djibouti Franc 6th generation;Georgia functionalities quantifying;true;COM Green XSS;2020-06-01T17:07:48;local technologies copying
6;haptic;Tools withdrawal;Granite application;California turn-key SDR;cross-platform;Agent Shoes;2020-06-01T02:21:17;Syrian Arab Republic Djibouti dedicated;Cheese Drive;true;gold Planner North Carolina;2020-06-01T15:22:23;Home Loan Account
7;client-driven;Dale Turnpike;cyan fuchsia Generic Fresh Gloves;pink;benchmark envisioneer 1080p;Knoll reintermediate;2020-06-01T14:22:38;convergence regional;Berkshire Alabama;false;Generic Human;2020-06-01T13:32:16;fresh-thinking
8;Plastic;encompassing Plastic;Web expedite;convergence Rubber;olive Corporate Soft;Internal sticky Small Wooden Pizza;2020-05-31T23:53:01;web-enabled proactive;lime communities;true;benchmark CSS Beauty;2020-05-31T22:06:58;Hryvnia
9;program;firewall;input;FTP;frame HDD;Intelligent;2020-06-01T15:35:45;feed;Toys integrated Plastic;true;Identity Credit Card Account;2020-06-01T16:16:02;Park
10;Usability;compressing circuit;Minnesota Platinum;dynamic;Granite Analyst Pants;hybrid;2020-06-01T03:43:10;Steel;Fall;true;lime Handmade calculate;2020-06-01T02:08:04;Senior
