id;name;description;is_active;created_at;created_by
1;Generic Steel Tuna;website calculating;true;2020-06-01T02:24:29;support Consultant
2;wireless Chilean Peso Unidades de fomento;reboot;true;2020-05-31T23:41:15;magenta Track
3;actuating THX;Division;false;2020-06-01T18:44:42;Credit Card Account
4;networks infomediaries;partnerships throughput;true;2020-06-01T10:45:30;transmitting intermediate withdrawal
5;green Credit Card Account;Gloves Lao People's Democratic Republic;false;2020-06-01T14:54:21;Small Wooden Bike Licensed Wooden Computer Oklahoma
6;aggregate throughput Practical;mobile distributed Dynamic;true;2020-06-01T21:25:07;Human New Mexico Implementation
7;Awesome Wooden Shirt;Ethiopia;false;2020-06-01T06:00:27;Rubber CSS
8;Bike Keyboard Tunnel;Ergonomic Concrete Ball SMS;true;2020-06-01T20:46:16;Auto Loan Account
9;Yuan Renminbi cross-platform Consultant;online Forward;false;2020-06-01T02:49:11;hacking
10;efficient;Buckinghamshire;true;2020-06-01T19:47:03;AGP Implementation
