id;name;field_name;capturedfield_value;actual_field_value;language;document_type;accuracy;extractions;created_at;created_by
1;Administrator Agent;maroon Clothing;bypass;bypassing;ENGLISH;INVOICE;Generic Wooden Chair needs-based;Bedfordshire Ville adapter;2020-06-01T13:30:53;Bedfordshire indexing Mouse
2;Gorgeous Steel Soap Investment Account Borders;Platinum magenta;Optimized;Future;ENGLISH;INVOICE;users Florida Money Market Account;Savings Account projection Chicken;2020-06-01T02:43:38;Specialist Toys Metal
3;Inverse withdrawal Cambridgeshire;next-generation;open-source Codes specifically reserved for testing purposes;value-added Computer;ENGLISH;INVOICE;convergence Rustic Soft Bacon Nepal;TCP;2020-06-01T12:28:30;uniform maximize
4;grow Kids;Rand Namibia Dollar AI one-to-one;Games;Tasty Steel Hat Response wireless;ENGLISH;INVOICE;Dale Practical;Planner;2020-05-31T22:50:46;Consultant
5;transmitter web services payment;Buckinghamshire;Factors Ways calculate;digital;ENGLISH;INVOICE;Croatian Kuna invoice;withdrawal;2020-06-01T06:04:14;Rubber B2C collaborative
6;Personal Loan Account context-sensitive;cross-platform Handmade;purple Frozen;Incredible next-generation Strategist;ENGLISH;PURCHASE_ORDER;Pennsylvania Investment Account connect;B2C back up;2020-06-01T19:28:46;Vermont Missouri Oklahoma
7;UIC-Franc deposit;compress;Jordanian Dinar SQL South Carolina;Corporate optical;ENGLISH;PURCHASE_ORDER;Reverse-engineered;Plastic Borders;2020-05-31T22:34:57;microchip channels Concrete
8;port;Kansas;Factors gold;real-time;ENGLISH;PURCHASE_ORDER;indexing Bedfordshire Alaska;circuit;2020-06-01T16:11:00;Personal Loan Account open architecture knowledge base
9;Central object-oriented;full-range Cambridgeshire;Investment Account Florida Shoes;web-enabled invoice;ENGLISH;PURCHASE_ORDER;invoice Agent Synchronised;Intelligent Soft Mouse Web Louisiana;2020-06-01T11:09:28;encoding
10;Principal;Central;optical Chips;Movies;ENGLISH;PURCHASE_ORDER;Shoes;Tuna;2020-06-01T00:34:55;communities
