id;activity_name;activity_creation_date;activity_start_time;activity_end_time;assigned_date;jhi_user;status;reason;comments;complete_on;duration;created_at;created_by
1;Intuitive Norwegian Krone model;2020-06-01T08:09:00;2020-06-01T18:10:37;2020-06-01T18:30:50;2020-06-01T20:49:35;calculate reboot;stable Toys;FTP Credit Card Account;solid state;2020-06-01T04:48:39;79071;2020-06-01T04:16:05;Rand
2;Georgia Implementation;2020-06-01T02:12:18;2020-06-01T16:14:05;2020-06-01T05:23:42;2020-06-01T01:28:45;Metal mission-critical;monitor Borders Pound Sterling;attitude-oriented;Bedfordshire;2020-06-01T19:48:35;69898;2020-06-01T10:28:15;Developer
3;Intranet Crossroad;2020-06-01T15:27:13;2020-06-01T21:18:16;2020-06-01T19:33:57;2020-06-01T10:42:33;Borders navigating;demand-driven Outdoors;purple deposit;Falkland Islands Pound Administrator;2020-06-01T01:37:55;71465;2020-06-01T11:50:08;Direct Savings Account
4;exploit Soap Lesotho;2020-06-01T17:01:19;2020-06-01T14:27:10;2020-06-01T17:27:39;2020-06-01T04:19:50;tan Operations program;Home Loan Account methodologies;Refined Metal Bacon;Home;2020-05-31T23:57:43;97874;2020-06-01T08:35:29;bus logistical parsing
5;Associate disintermediate;2020-06-01T00:28:19;2020-06-01T10:53:16;2020-06-01T14:30:23;2020-06-01T18:23:10;Home Loan Account;mint green;Garden deposit Personal Loan Account;Horizontal hack;2020-05-31T22:48:48;35937;2020-06-01T18:05:21;Table Sleek
6;actuating;2020-06-01T21:06:10;2020-06-01T20:48:41;2020-06-01T13:59:24;2020-06-01T01:29:59;mobile;Secured;PCI;Fresh;2020-06-01T09:35:08;32192;2020-06-01T10:10:34;value-added synthesize violet
7;generating Dynamic;2020-06-01T04:43:18;2020-06-01T11:21:07;2020-06-01T15:20:47;2020-06-01T04:17:11;Centralized real-time back-end;back up Supervisor Auto Loan Account;strategic program neural;Berkshire;2020-06-01T20:40:57;65382;2020-06-01T20:39:40;Steel
8;SMS Integrated cross-platform;2020-05-31T22:52:35;2020-05-31T23:57:03;2020-06-01T12:31:26;2020-06-01T19:57:07;SSL Refined Steel Gloves;redefine;enterprise Savings Account;Gorgeous Total;2020-06-01T17:49:05;4366;2020-06-01T05:29:30;groupware Road
9;Pennsylvania;2020-06-01T04:27:17;2020-06-01T07:09:15;2020-06-01T18:07:34;2020-05-31T23:50:04;bypass challenge;Borders policy;Salad Rubber;Cotton;2020-06-01T15:03:51;2350;2020-05-31T22:44:03;pixel
10;generate;2020-06-01T17:53:45;2020-06-01T06:38:55;2020-06-01T13:39:10;2020-05-31T22:24:14;bypassing;target;programming optical;pink;2020-06-01T13:14:19;79598;2020-05-31T23:52:27;Ball
