id;priority;retries;mode;name;created_at;created_by
1;Intelligent Plastic Ball Consultant yellow;interfaces out-of-the-box;SMS;Planner;2020-06-01T14:46:18;Fantastic dot-com
2;Cambridgeshire;Lead;CALL;Soft;2020-06-01T16:14:54;payment
3;functionalities;Specialist;CALL;Soft e-business;2020-06-01T09:50:46;plum Sleek
4;monitoring Maine architectures;functionalities;SMS;bandwidth drive Open-architected;2020-06-01T14:18:51;quantify Generic
5;best-of-breed;invoice innovative;MAIL;Tactics Refined Fresh Pants;2020-06-01T14:50:26;haptic
6;Lakes;reboot niches payment;SMS;Designer Buckinghamshire strategic;2020-06-01T14:16:02;green disintermediate deposit
7;Electronics Wyoming;Creative;SMS;Internal Executive Analyst;2020-06-01T12:52:06;redefine open-source Handcrafted Steel Cheese
8;Dynamic Corners hardware;tangible protocol Architect;SMS;Practical Rubber Pizza;2020-06-01T09:01:17;Consultant
9;collaboration;technologies;WHATSAPP;transmit black functionalities;2020-06-01T10:10:38;sensor wireless
10;motivating back up frictionless;Viaduct asynchronous;MAIL;Virginia methodical;2020-05-31T23:20:03;pink card
