id;account_no;country;chart_of_accounts;category_id;account_type;is_balance_sheet;text_for_criterion;some_text;tax_cat_tax_code;currencykey;active_coa;active_co_code;posting_without_tax_allowed;posting_block;post_at_profit_centre;post_at_cost_centre;post_at_segment;post_at_internal_order;is_active;created_at;created_by
1;tan;Christmas Island;invoice;Som;Customer Money Market Account Reactive;true;Planner Global;collaboration;Orchestrator haptic monitor;SMS override Dynamic;Sausages;Movies client-server;Configuration;orange Car;online copy Fresh;cyan Parkways;Home;hard drive;true;2020-06-01T06:29:38;Kyat architect
2;Reactive Global;Comoros;UAE Dirham microchip Virgin Islands, British;Berkshire;Money Market Account;false;high-level copying Senior;Shoes;Research Keyboard Unbranded Concrete Fish;Pa'anga;Group SMS online;metrics;grow;firmware systems Road;California;ivory;Granite;Stand-alone;true;2020-06-01T11:38:04;Leone benchmark
3;empower;Sierra Leone;tan;Rubber architectures;mobile;false;pink;secondary;British Indian Ocean Territory (Chagos Archipelago) Checking Account;facilitate;Money Market Account;impactful Expanded;Metal;Human Cotton quantifying;ADP;Integrated Solutions Pennsylvania;cross-platform Tasty Plastic Tuna;protocol;true;2020-06-01T17:59:27;incubate invoice
4;SSL compressing Checking Account;Bosnia and Herzegovina;info-mediaries well-modulated;markets Fresh;Small circuit;true;XML Brand;Portugal;Auto Loan Account Avon;pixel;XSS multimedia;generating Generic;Specialist card;capacitor;Auto Loan Account Kyat Human;Checking Account bypassing;Data virtual;SMTP revolutionize;false;2020-06-01T00:08:54;orchestration
5;Buckinghamshire transparent Movies;Japan;transmit;discrete Borders;generating Streamlined Martinique;true;Frozen zero defect;deposit;Angola;Operative Data Function-based;Soap Intelligent Wooden Towels;panel bandwidth Jewelery;Generic Concrete Soap ADP payment;Sleek Incredible SMTP;Refined program;Cotton enhance;Checking Account;deposit neural Wooden;true;2020-06-01T21:31:43;Awesome Engineer
6;program Research;Kazakhstan;mobile models Guinea-Bissau;Multi-channelled;Corner Guernsey;false;Dale;Money Market Account Savings Account aggregate;Berkshire Factors;Divide;Licensed Rubber Mouse Sports tertiary;hack engage;Buckinghamshire solid state;optical;optical;auxiliary Avon;architecture;Planner neural Saudi Riyal;true;2020-05-31T22:30:01;Agent hack
7;online analyzing;Turkmenistan;overriding CSS;Gorgeous Steel Car software withdrawal;Optimization Soap;false;SSL Motorway;Sleek;overriding deliver program;Infrastructure innovative;Incredible Soft Mouse;cross-platform groupware;Credit Card Account;TCP wireless;Bedfordshire Mouse;Berkshire Group;sticky bypassing;cross-platform;false;2020-06-01T17:49:47;Incredible Consultant
8;relationships;Turkmenistan;Baby Human Macao;Polarised;Ball payment;false;COM Colombian Peso Unidad de Valor Real;Implemented;Garden Reactive Burkina Faso;Home Industrial American Samoa;Multi-tiered internet solution;Bedfordshire Port;Guyana Future maximize;HDD Russian Ruble;ADP capacitor;visionary;Grocery override Plastic;Electronics monitor;true;2020-05-31T23:25:20;Granite
9;Plastic parse;Guinea-Bissau;back up Division;New Zealand copying convergence;Architect;false;Awesome transmit;Executive Bouvet Island (Bouvetoya);array Yuan Renminbi user-facing;Sausages navigate CFA Franc BCEAO;Investment Account;Avon;Visionary;Credit Card Account;action-items THX;Cambridgeshire;deposit Security;generate Rustic Steel Chicken;true;2020-06-01T00:13:37;Malaysia parse reboot
10;Club;Ukraine;open-source Grocery;Lithuania portal vortals;override;false;harness Architect Plastic;redundant;visionary Fish;Director Producer;metrics;Coordinator;New Zealand;Clothing Dam Handmade Soft Ball;Grove drive expedite;calculating;optimize Creative B2C;Sports Mobility;false;2020-05-31T22:13:15;Consultant well-modulated
