id;name;server;address;display_name;created_at;created_by
1;SDD Electronics Unbranded;Computers Toys Buckinghamshire;Chicken;disintermediate Digitized interface;2020-06-01T09:23:54;Wooden Soft Handmade
2;Tuna;maroon;deposit digital application;Mississippi;2020-06-01T10:52:31;TCP Senior Salad
3;TCP Horizontal;circuit;ivory Sleek Fresh Table;Computers;2020-06-01T06:18:39;Director
4;Concrete;Unbranded Yemeni Rial;platforms matrix;hacking;2020-06-01T07:45:38;District incremental toolset
5;haptic orange payment;Handcrafted Granite Sausages open-source array;TCP workforce efficient;PNG hard drive holistic;2020-06-01T03:18:52;Run architect
6;quantify EXE Savings Account;North Carolina;Centralized;Cotton bandwidth;2020-06-01T07:40:50;indigo European Unit of Account 17(E.U.A.-17)
7;card teal;input optical;Fantastic;generate Awesome Concrete Salad HTTP;2020-06-01T10:27:47;redundant Money Market Account Georgia
8;Village Hat Future;customer loyalty Nepalese Rupee Trinidad and Tobago Dollar;Liaison Codes specifically reserved for testing purposes;wireless backing up asymmetric;2020-06-01T20:23:37;Refined
9;Avon Ball;CSS capacitor Cambridgeshire;French Southern Territories productize card;envisioneer foreground;2020-06-01T06:22:21;Chicken Kids Integration
10;olive intranet navigate;Handcrafted Jewelery Chief;hard drive Small;European Monetary Unit (E.M.U.-6) Garden;2020-06-01T17:39:07;Money Market Account solutions Denmark
