id;country;from_currency;to_currency;validfrom;exchange_rate;exchange_type;ratio_from;ratio_to;is_active;is_deleted;created_at;created_by
1;Mozambique;INDIAN_RUPEE;INDIAN_RUPEE;2020-06-01T08:20:00;48971;overriding Sports Forward;withdrawal matrix purple;enable override encompassing;true;false;2020-05-31T23:52:42;Colombian Peso Unidad de Valor Real
2;Turkey;US_DOLLAR;INDIAN_RUPEE;2020-06-01T16:49:57;61575;index Lebanon;Investment Account Azerbaijanian Manat;fault-tolerant;false;true;2020-06-01T07:15:03;withdrawal
3;Armenia;US_DOLLAR;INDIAN_RUPEE;2020-06-01T21:02:14;41822;Pizza input;Chips;Maldives;false;true;2020-06-01T21:24:35;orchestration
4;Romania;INDIAN_RUPEE;INDIAN_RUPEE;2020-06-01T08:58:31;6160;Director;Manors Mauritius Rupee Decentralized;hack applications Key;false;false;2020-06-01T11:58:07;Accountability intangible
5;Samoa;INDIAN_RUPEE;INDIAN_RUPEE;2020-06-01T19:13:10;4813;Checking Account;generate;Square Square;false;true;2020-06-01T03:30:06;e-markets Divide Associate
6;Samoa;INDIAN_RUPEE;US_DOLLAR;2020-06-01T10:41:45;35558;Shirt;Soap Beauty TCP;Engineer;false;true;2020-06-01T12:53:03;Libyan Arab Jamahiriya concept
7;Seychelles;INDIAN_RUPEE;US_DOLLAR;2020-06-01T09:17:01;97417;Electronics transmit;Small Concrete Shoes Unbranded Concrete Car;encompassing dynamic;false;false;2020-06-01T08:39:24;AGP
8;Greece;INDIAN_RUPEE;US_DOLLAR;2020-06-01T03:47:22;32331;workforce Investor;Angola Director;Savings Account Analyst project;false;true;2020-06-01T02:37:50;payment
9;Moldova;INDIAN_RUPEE;US_DOLLAR;2020-06-01T00:50:38;25688;Rustic Steel Salad navigate;Markets;out-of-the-box;true;true;2020-06-01T10:16:33;concept ability
10;Djibouti;INDIAN_RUPEE;INDIAN_RUPEE;2020-05-31T21:37:00;3097;matrix maroon extend;Money Market Account mint green;Missouri methodologies port;false;false;2020-06-01T19:02:58;Beauty
