id;name;country;country_key;tax_code;description;tax_code_description;tax_rate;created_at;created_by
1;Cotton;French Southern Territories;Rubber Administrator Plastic;actuating Health Kansas;Division Architect end-to-end;generate scale;43372;2020-06-01T15:58:07;Macedonia e-services Tasty Metal Towels
2;Games;French Polynesia;Generic withdrawal Monitored;complexity Corporate;withdrawal multi-byte Steel;adapter firewall Human;58546;2020-06-01T03:33:54;platforms
3;Dynamic real-time Fresh;Niue;Grocery;CSS matrix Georgia;revolutionize real-time mobile;Practical Cotton Salad Small Metal Salad;90142;2020-06-01T10:54:05;Savings Account Dynamic
4;Buckinghamshire implementation lime;Isle of Man;Customer quantifying;productivity;productize maroon directional;Awesome Village;63318;2020-06-01T02:37:07;Clothing
5;Corporate;Gibraltar;payment;Dobra Groves tangible;Cambridgeshire Investment Account Chair;invoice;9512;2020-06-01T06:44:08;Operations
6;revolutionary;Guernsey;card;New York Polarised generate;Liaison;Licensed Granite Chicken Cambridgeshire FTP;23927;2020-06-01T09:01:25;sky blue Auto Loan Account
7;District schemas;Liberia;Gorgeous Plastic Tuna Functionality e-business;transmit;azure platforms transmit;Orchestrator bandwidth;34950;2020-06-01T09:28:38;Light Estate cohesive
8;Shoes benchmark Intranet;Christmas Island;mindshare cross-media;Licensed national;New Mexico zero tolerance;withdrawal;95200;2020-06-01T11:32:24;Supervisor Fresh
9;methodologies Intelligent Fresh Gloves Refined;Lao People's Democratic Republic;invoice;clicks-and-mortar;Representative District Intelligent Steel Computer;Metal Buckinghamshire;95586;2020-06-01T15:50:09;enhance Gloves B2B
10;COM;Montserrat;connect;Paradigm programming;bypass Stream;silver Granite circuit;37363;2020-06-01T07:14:07;Credit Card Account Avon Cambridgeshire
