id;country;article_no;qty;received_qty;billed_qty;unit_of_measurement;currency;line_amount;line_amount_excl_tax;unit_price;cost_centre;cost_centreid;article_description;delivery_receipt_no;delivery_date;hsn_code;tolerance;tolerance_price;receipt_reqd;accepted_qty;amount_received;available_qty;created_at;created_by
1;Ghana;National Borders Intelligent Wooden Keyboard;55861;57042;65142;back-end feed withdrawal;US_DOLLAR;26473;25565;38704;Personal Loan Account firmware;Accountability Salad;withdrawal Universal Bolivia;Health;2020-06-01T10:42:12;incentivize Cambridgeshire Checking Account;Berkshire;15711;false;50709;4170;22882;2020-06-01T02:24:58;gold Guam
2;Angola;Cotton protocol Auto Loan Account;94131;86010;95566;Group structure mobile;INDIAN_RUPEE;88495;79538;41495;Personal Loan Account content;mindshare Architect;violet Freeway;Planner;2020-06-01T16:18:22;Rubber;deposit Refined Plastic Bacon;28496;true;16568;15954;17252;2020-06-01T10:14:43;connecting copy
3;Sri Lanka;Configuration;88490;36043;36963;Shore pixel Agent;INDIAN_RUPEE;86811;69978;20107;Libyan Dinar;payment;Forward open-source;withdrawal Kwacha;2020-06-01T12:31:18;Corporate Bedfordshire;CSS;42584;false;33035;74293;67275;2020-06-01T13:21:18;Bedfordshire Course innovate
4;Venezuela;Bosnia and Herzegovina Home Loan Account;82918;43578;91711;Concrete Turnpike;US_DOLLAR;20091;73128;17684;Plastic;payment Minnesota;neural-net recontextualize Barbados Dollar;withdrawal;2020-06-01T06:22:45;JSON plum e-services;invoice encoding;77584;false;21086;1454;16241;2020-06-01T07:52:52;Frozen Soft
5;Cape Verde;Aruban Guilder Chair Licensed;90475;42551;85398;SDD Mouse;INDIAN_RUPEE;34153;86653;14659;Berkshire Health;Hat;Kiribati extensible Concrete;Metrics;2020-06-01T19:23:11;Valleys;upward-trending Handmade Concrete Hat cross-platform;38937;true;78863;4170;60284;2020-06-01T21:37:01;withdrawal Practical Steel Hat
6;Vanuatu;Liberian Dollar Road Optimization;62509;26569;19445;Implementation Outdoors Unbranded Steel Car;INDIAN_RUPEE;82704;44620;84127;Steel Sleek Soft Bike parse;unleash 1080p Tools;connecting Serbian Dinar;Security;2020-05-31T23:40:17;tertiary synergies Fantastic Rubber Pizza;Rustic Granite Towels;41300;true;7841;41076;91364;2020-06-01T16:37:06;CSS
7;Montenegro;Buckinghamshire Business-focused;20395;53440;10245;bandwidth Division;INDIAN_RUPEE;99865;70148;30101;hack neural Nakfa;web services mint green;unleash application;IB;2020-06-01T00:44:03;copying Views;Usability;33800;false;6227;93286;70958;2020-06-01T03:09:57;programming paradigms
8;Democratic People's Republic of Korea;input;10675;46612;40434;Implementation Customer European Unit of Account 17(E.U.A.-17);US_DOLLAR;68976;77000;5160;USB national;Product;holistic Program;Handmade;2020-06-01T08:37:54;instruction set Palau quantifying;hardware Tunnel;93753;true;77386;79708;45008;2020-06-01T04:17:42;Ville visualize
9;Equatorial Guinea;Trail;42599;97634;38352;deposit Manat;US_DOLLAR;50147;96162;27282;Program Kentucky grow;open-source calculating;Plains Awesome Plastic Bike Island;Qatari Rial deposit;2020-06-01T04:56:25;neural wireless calculate;Saint Kitts and Nevis Buckinghamshire portals;56874;true;31225;78341;65472;2020-06-01T11:25:42;Small Steel Fish Cheese
10;Sweden;Bike best-of-breed;72179;8981;7688;generate card;US_DOLLAR;50417;38465;82492;invoice;Soft Automotive;withdrawal withdrawal;circuit Avon;2020-06-01T02:27:01;Administrator;program;28206;false;24008;19491;85052;2020-06-01T11:58:04;Auto Loan Account
