id;company_code;legal_entity_name;comments;gross_amount;net_amount;currency;country;country_key;language_key;erp_reference_number;po_box_code;scan_date;received_date;case_creation_date;number_of_scanned_pages;sla;sla_expiration_date;trading_partner;delivery_date;delivery_note_number;recepient_email;is_case_close;ocr_required;barcode;functional_currency;reporting_currency;approver_required;site_code;sort_code;discount;additional_charges;sum_line_amount;conversion_rate;payment_currency;liability_account;posting_date;term_date;shipping_amount;created_at;created_by
1;monitor Markets Shore;Cambridgeshire Beauty invoice;Visionary web-readiness;Honduras;CSS metrics Enterprise-wide;US_DOLLAR;Egypt;synergy;Books Games;Sports;Concrete turquoise payment;2020-05-31T22:00:08;2020-06-01T13:42:03;2020-06-01T18:51:21;program;compressing;2020-06-01T07:00:58;Nepal;2020-06-01T11:32:47;2020-06-01T02:29:19;Netherlands Antilles Marketing GB;Wooden;false;Corner facilitate Pitcairn Islands;INDIAN_RUPEE;INDIAN_RUPEE;Cambridgeshire Iceland whiteboard;expedite;Plastic Mission;81048;19629;77044;21479;INDIAN_RUPEE;multi-tasking Direct Regional;2020-06-01T15:31:05;2020-06-01T13:36:19;64321;2020-05-31T23:50:49;Planner web services auxiliary
2;Assistant;Security Health Place;Personal Loan Account;Horizontal;Rubber hack Bacon;INDIAN_RUPEE;Tonga;Bedfordshire Street;teal Knoll;real-time Ergonomic transmitter;Lead transform Planner;2020-06-01T15:32:02;2020-06-01T16:54:29;2020-06-01T14:16:03;incentivize;model Fish;2020-06-01T16:59:10;impactful Isle compress;2020-05-31T22:25:57;2020-05-31T23:05:15;Republic of Korea;strategy Cotton;true;synergies;US_DOLLAR;INDIAN_RUPEE;invoice Valleys Delaware;workforce Stream;European Unit of Account 17(E.U.A.-17);98537;34569;81573;14137;INDIAN_RUPEE;Identity copying;2020-06-01T14:34:26;2020-06-01T04:05:33;79128;2020-06-01T21:32:51;Investor
3;Fresh;calculating array;Automated niches;e-markets Plastic content;mint green Tuna;US_DOLLAR;Fiji;mission-critical streamline;PCI;Rapid;Auto Loan Account alarm;2020-06-01T07:15:57;2020-06-01T17:52:36;2020-06-01T20:15:24;invoice;Rubber;2020-06-01T03:52:06;De-engineered;2020-06-01T12:10:56;2020-06-01T13:34:04;overriding Soft;adapter silver paradigms;false;connect Ridges;US_DOLLAR;US_DOLLAR;Salad Bike Brand;invoice;installation Tasty Cotton Sausages Direct;91399;73260;91595;91370;INDIAN_RUPEE;Harbor Frozen regional;2020-06-01T13:16:11;2020-06-01T08:22:05;30086;2020-06-01T12:00:14;Human Licensed Principal
4;RSS Home Loan Account;synthesize;access withdrawal;Concrete;Gorgeous;INDIAN_RUPEE;Cape Verde;Multi-tiered dedicated multi-state;quantifying bifurcated deposit;incremental functionalities;Chair Movies Rial Omani;2020-06-01T18:26:38;2020-06-01T19:37:30;2020-06-01T02:39:40;transmitter;withdrawal Auto Loan Account synergistic;2020-06-01T01:28:21;revolutionize Clothing;2020-06-01T13:02:35;2020-06-01T17:51:50;Accounts compressing;synthesize;false;Consultant SDD customized;INDIAN_RUPEE;INDIAN_RUPEE;Savings Account Sleek Plastic Ball Books;e-business primary;strategic invoice;89211;49148;49816;9350;INDIAN_RUPEE;Handcrafted e-markets Chief;2020-06-01T04:43:56;2020-06-01T07:05:42;29795;2020-06-01T21:21:27;National Savings Account optical
5;invoice e-tailers Implementation;Buckinghamshire Union Saudi Arabia;Libyan Dinar Customer-focused;primary;Squares Saudi Riyal;INDIAN_RUPEE;Serbia;Representative synthesizing Architect;Gold infrastructures connect;Practical Plastic Salad Borders;static B2B;2020-06-01T20:51:42;2020-06-01T01:09:26;2020-06-01T06:13:18;navigate;system technologies Nuevo Sol;2020-06-01T19:19:25;Frozen 24 hour;2020-06-01T04:06:50;2020-06-01T05:45:36;virtual Facilitator;Savings Account Bypass West Virginia;true;Tuna Manager Gorgeous;INDIAN_RUPEE;INDIAN_RUPEE;utilize;Movies;capacitor;58608;34414;99285;1320;INDIAN_RUPEE;Stravenue Auto Loan Account Personal Loan Account;2020-06-01T07:21:25;2020-06-01T09:29:23;82877;2020-06-01T18:26:42;motivating collaboration
6;Investment Account Bedfordshire;Ethiopian Birr;copy Rustic Rubber Mouse;Home Loan Account;Central;INDIAN_RUPEE;Nicaragua;auxiliary USB;Graphic Interface Borders Concrete;Singapore Dollar evolve Wooden;streamline;2020-06-01T13:30:48;2020-06-01T00:46:58;2020-06-01T18:04:12;Tasty toolset withdrawal;PCI;2020-06-01T09:03:11;Incredible Future Tasty;2020-05-31T22:46:00;2020-05-31T23:53:35;Alabama;evolve withdrawal;false;Functionality methodical;US_DOLLAR;INDIAN_RUPEE;Licensed Steel Keyboard navigating generating;cyan synthesizing;Savings Account Faroe Islands;84719;83403;23917;14646;US_DOLLAR;deposit Plastic sexy;2020-06-01T00:05:38;2020-06-01T01:23:58;64362;2020-06-01T13:52:05;payment Gloves Enhanced
7;port;deliverables cohesive;monetize virtual Mobility;schemas;firewall;INDIAN_RUPEE;Iceland;streamline;Estates;Licensed Frozen Chicken New Hampshire orchid;ivory;2020-06-01T11:40:29;2020-06-01T21:24:00;2020-06-01T12:09:06;Bosnia and Herzegovina Course productize;cross-platform;2020-06-01T18:47:26;Operations Home Loan Account;2020-06-01T09:15:40;2020-06-01T05:22:04;invoice out-of-the-box local;Incredible Human;true;Argentine Peso;US_DOLLAR;INDIAN_RUPEE;Ball Sharable;Supervisor;schemas Factors;95619;4564;44146;15966;US_DOLLAR;lavender feed;2020-06-01T18:19:56;2020-06-01T10:59:10;69871;2020-06-01T09:27:22;Communications definition
8;Rustic Soft Mouse pixel;Tasty Generic Cotton Pizza;Direct Intranet toolset;RSS;SAS Program;US_DOLLAR;Rwanda;turquoise Money Market Account;Executive;integrated primary;Human;2020-06-01T05:03:05;2020-06-01T06:59:55;2020-06-01T12:29:58;Buckinghamshire;Fundamental software grey;2020-05-31T22:54:52;Checking Account sensor Forward;2020-06-01T00:43:20;2020-06-01T02:40:48;Tasty Wooden Bike;Alabama;true;orange intranet Handcrafted;INDIAN_RUPEE;US_DOLLAR;Forward ivory;Upgradable neural aggregate;Checking Account Gorgeous Clothing;99555;12588;53511;98660;INDIAN_RUPEE;Personal Loan Account;2020-06-01T14:55:45;2020-06-01T08:50:44;36600;2020-06-01T18:57:19;Soft niches
9;Metal mobile payment;Sharable Balboa US Dollar;compressing Analyst Granite;compress Licensed Metal Pants Planner;Books;INDIAN_RUPEE;Liberia;Tanzania Practical Granite Chicken;Directives Island;firmware;SQL Maine monitor;2020-06-01T16:11:36;2020-06-01T10:38:38;2020-06-01T12:11:28;mobile;monitor transmitting Home Loan Account;2020-05-31T23:57:49;UAE Dirham Awesome Metal Sausages;2020-06-01T17:31:07;2020-06-01T07:08:54;Croatia;compelling array;false;Netherlands Antillian Guilder bypass;US_DOLLAR;US_DOLLAR;Engineer Phased;time-frame Personal Loan Account Representative;functionalities Drives Refined Steel Pizza;45178;52888;80700;3362;US_DOLLAR;Switchable;2020-06-01T17:00:57;2020-06-01T04:42:38;24180;2020-06-01T08:00:34;Auto Loan Account Outdoors Cambridgeshire
10;Port pink;Chief best-of-breed Fish;pixel District;repurpose engage Programmable;Wooden Auto Loan Account;INDIAN_RUPEE;Iceland;Configuration;envisioneer e-commerce Shirt;enhance sensor back-end;open architecture Direct SQL;2020-06-01T17:40:07;2020-06-01T19:48:40;2020-06-01T08:01:56;challenge Savings Account;grow;2020-06-01T21:26:02;robust;2020-06-01T17:16:15;2020-05-31T21:51:18;web-enabled alarm engineer;transmitting Guyana violet;true;24/7 open-source deposit;US_DOLLAR;US_DOLLAR;Avon Soft;transmitter;neural;9201;48688;75396;22620;INDIAN_RUPEE;Supervisor;2020-06-01T18:43:34;2020-06-01T20:06:38;32294;2020-06-01T17:56:28;invoice Product Fundamental
