id;name;terms;mode;due_date;status;payment_channel;type;approval_status;date_of_approval;date_of_payment;payment_reference_number;check_date;check_number;check_amount;early_payment_date;early_payment_discount;early_payment_amount;early_payment_remarks;payment_doc_date;payment_doc_no;payment_amount;discount_taken;discount_lost;payment_currency;invoice_base_amount;cleared_date;cleared_amount;transaction_id;created_at;created_by
1;Dale hierarchy withdrawal;quantifying Representative monitor;UPI;2020-06-01T01:38:27;PENDING;Gloves seize Borders;REFUND;PAID;2020-06-01T02:03:08;2020-06-01T12:49:57;override Steel;2020-06-01T01:53:07;Tactics;47938;2020-06-01T21:49:42;implementation;16686;e-commerce Buckinghamshire Granite;2020-06-01T06:12:25;Georgia Checking Account Tennessee;1875;93261;44043;INDIAN_RUPEE;49207;2020-06-01T02:58:09;13407;Grocery;2020-06-01T09:13:01;mint green
2;action-items Investment Account;Hat compressing withdrawal;CHEQUE;2020-06-01T13:15:29;FAILURE;Human bluetooth Granite;FORWARD;CANCELLED;2020-05-31T22:30:02;2020-06-01T06:35:04;microchip knowledge base open-source;2020-06-01T00:47:44;Operations;72266;2020-05-31T22:44:37;morph approach;1844;invoice copying;2020-05-31T23:49:05;orange;80473;40814;30395;INDIAN_RUPEE;90385;2020-06-01T13:51:33;43108;copying Response;2020-05-31T22:44:04;incubate District payment
3;transmit Georgia Credit Card Account;Mauritius;CASH;2020-06-01T17:41:06;PENDING;North Carolina expedite;FORWARD;PAID;2020-06-01T03:22:37;2020-05-31T23:48:40;Fantastic Kenya sky blue;2020-06-01T19:05:59;markets open-source;94058;2020-06-01T05:14:19;Tasty Estonia synthesize;26956;Plains Digitized Home Loan Account;2020-06-01T04:34:03;leverage;66124;69723;59175;INDIAN_RUPEE;35801;2020-06-01T02:30:06;1965;Jewelery;2020-06-01T02:55:50;Movies payment
4;ADP Home Loan Account;Chicken content copy;ONLINEBANKING;2020-06-01T12:54:41;FAILURE;Tuna;REFUND;FAILED;2020-06-01T18:47:24;2020-06-01T03:10:45;Gloves Central;2020-06-01T15:40:35;Wooden;48624;2020-06-01T06:28:40;District Intelligent indexing;81029;Graphic Interface Organic Awesome Concrete Chips;2020-05-31T23:46:13;Executive microchip Wyoming;69215;18581;46351;INDIAN_RUPEE;16008;2020-06-01T01:00:58;26649;Fish;2020-05-31T23:22:52;Liaison
5;Industrial yellow;1080p dynamic;ONLINEBANKING;2020-06-01T00:27:17;FAILURE;scale back-end;REFUND;DISAPPROVED;2020-06-01T00:19:51;2020-06-01T18:09:05;RAM;2020-06-01T11:41:46;Markets;25277;2020-06-01T06:49:44;Borders payment Corporate;18533;Sleek Metal Chips Alaska Regional;2020-06-01T08:15:33;backing up Stream Norway;16167;34759;22890;INDIAN_RUPEE;10360;2020-06-01T13:45:37;10626;cross-platform;2020-06-01T07:58:55;Metical Frozen Buckinghamshire
6;invoice;Salad;CHEQUE;2020-06-01T05:11:15;FAILURE;parsing;REFUND;APPROVED;2020-06-01T12:57:50;2020-05-31T23:33:16;South Carolina Liaison;2020-06-01T01:55:11;Intelligent Money Market Account Human;94181;2020-06-01T05:15:12;even-keeled Configuration neural;62113;Tools Fresh;2020-06-01T03:26:16;maximize Regional;46290;55646;92241;US_DOLLAR;34253;2020-06-01T11:31:57;10306;Senior Facilitator primary;2020-06-01T15:15:56;Assurance
7;SCSI;Chicken;CASH;2020-06-01T02:46:51;PROCESSING;Vanuatu Bedfordshire Bedfordshire;REFUND;PAID;2020-06-01T10:33:20;2020-06-01T12:13:40;Dynamic Secured;2020-06-01T14:04:59;magenta asynchronous;56640;2020-06-01T08:00:01;Legacy Ameliorated programming;48491;Buckinghamshire Directives panel;2020-06-01T02:42:08;copying;58482;79882;42603;US_DOLLAR;27761;2020-06-01T10:36:53;84847;Specialist Ball calculate;2020-06-01T02:27:08;Pa'anga
8;Electronics bypass;Shoes Gorgeous Metal Salad;CHEQUE;2020-06-01T20:21:55;SUCCESS;Forks card;FORWARD;FAILED;2020-06-01T01:01:20;2020-05-31T23:09:38;South Dakota;2020-06-01T16:30:17;compress;87349;2020-06-01T17:12:49;Home Loan Account Argentine Peso Incredible;15430;Small Customer Cape Verde Escudo;2020-06-01T19:06:14;Associate Awesome Soft Computer payment;26800;683;26244;INDIAN_RUPEE;34563;2020-06-01T09:41:52;66699;Buckinghamshire emulation;2020-06-01T20:29:53;Ergonomic Chips Industrial
9;Dobra Soft Steel;Associate Nepal;ONLINEBANKING;2020-06-01T01:45:53;FAILURE;bluetooth;REFUND;PAID;2020-05-31T22:39:28;2020-06-01T11:23:28;Overpass;2020-06-01T04:27:42;withdrawal;2860;2020-06-01T07:14:16;action-items haptic;71202;Plastic;2020-05-31T22:20:45;Balanced;39590;91100;84519;INDIAN_RUPEE;56165;2020-06-01T07:53:12;78755;auxiliary back up;2020-05-31T23:40:18;withdrawal Auto Loan Account
10;synergize;yellow;DRAFT;2020-06-01T02:10:22;SUCCESS;Proactive;REFUND;PAID;2020-06-01T06:18:07;2020-06-01T07:49:57;Pakistan open-source Granite;2020-06-01T11:08:56;Shoes Plastic;22983;2020-06-01T18:00:40;alarm;41950;Avon;2020-06-01T10:19:17;Borders Computer Minnesota;39330;47704;96751;INDIAN_RUPEE;63158;2020-06-01T10:24:50;9170;Paradigm Facilitator Ferry;2020-06-01T18:41:59;quantifying Chad Sleek
