id;serial_no;header;unit;issuer;issuer_details;creation_date;price;status;created_by
1;invoice;Web reboot;Plastic;bypassing object-oriented Borders;Security deposit;2020-06-01T05:53:34;next-generation Agent;scale;HDD
2;extend solid state;next-generation Frozen Guadeloupe;Health HTTP Slovakia (Slovak Republic);redundant;Handmade Tools;2020-06-01T00:11:43;matrix collaborative;Borders;calculate tangible motivating
3;Outdoors copying bandwidth-monitored;Direct groupware;South Dakota connect Berkshire;alarm dedicated;Towels transition Practical;2020-06-01T16:03:08;ability Developer hierarchy;Sausages Japan bypass;mobile cyan
4;Lead Markets Functionality;navigating SAS Avon;Implemented Legacy Towels;Supervisor bricks-and-clicks;Cliffs Money Market Account;2020-06-01T10:40:43;Tasty Checking Account Samoa;Falls parse bypass;Illinois
5;real-time Buckinghamshire Credit Card Account;Universal Dynamic;copying bypassing;Shoes maximize Cuban Peso Peso Convertible;Gloves Tuna;2020-06-01T02:34:55;CSS protocol;Fantastic Representative copying;bluetooth withdrawal Horizontal
6;Investment Account;Cheese paradigms generate;SSL;transmitting local Bedfordshire;Front-line Netherlands THX;2020-06-01T07:25:52;parsing;Refined Metal Chair Sausages;invoice Awesome
7;application background Refined;Developer;withdrawal innovative;proactive system;Keyboard Antigua and Barbuda;2020-06-01T13:57:51;Marketing tan;Libyan Dinar Pizza;Metal
8;RSS Brand New York;Kip Squares pixel;Buckinghamshire;Handcrafted lavender Garden;Buckinghamshire Locks encoding;2020-06-01T21:25:17;Ohio multimedia implementation;Mountain embrace;invoice Communications
9;Handcrafted Data payment;Graphical User Interface withdrawal parse;Soft;Euro input Sports;Concrete;2020-06-01T13:23:20;Toys District Pound Sterling;Rue;JBOD backing up
10;Handmade Plastic Cheese;invoice;parse salmon Niger;District Licensed Nauru;compress Persistent technologies;2020-06-01T15:29:48;reintermediate;Savings Account time-frame Shoes;Savings Account
