id;name;current_status;status_reason;created_at;created_by
1;Credit Card Account;recontextualize Thailand CSS;connecting;2020-06-01T03:22:13;Michigan Paradigm United States Minor Outlying Islands
2;Handmade;Investment Account SSL Sleek;Wooden Fields International;2020-05-31T23:29:36;bypass mint green Fresh
3;background Costa Rica installation;eco-centric deposit SSL;blue;2020-06-01T04:09:16;Tasty SMS
4;Hat;facilitate;withdrawal Specialist Mississippi;2020-06-01T15:12:42;incubate e-commerce
5;Louisiana;Georgia Integration transmit;COM;2020-06-01T15:19:10;Corporate Multi-lateral Plains
6;payment Data;THX next-generation;fuchsia scalable;2020-05-31T23:44:13;teal
7;withdrawal unleash;Switzerland Licensed Personal Loan Account;Chad;2020-06-01T03:01:17;Wooden Awesome
8;Soft;Minnesota empowering olive;Tanzania;2020-06-01T17:25:07;Metal motivating copy
9;Cambridgeshire;Avon Multi-channelled;Gloves backing up Specialist;2020-06-01T16:51:48;Interactions Licensed indexing
10;deposit;Pass orange;panel Assistant Pennsylvania;2020-06-01T18:34:34;auxiliary partnerships
