id;tax_code;tax_rate;tax_amount;tax_description;tax_display;wht_applicable;wht_grp_id;wht_type;wht_code;wht_amount;unplanned_delivery_tax_rate;unplanned_delivery_tax_amount
1;Georgia orchestrate alarm;30867;19780;Functionality online Distributed;back up;back up calculating;Principal Outdoors;Rubber;cyan Manager transform;5618;64616;26912
2;Borders Washington Borders;84074;333;synthesize revolutionary;deposit;Avon Liaison cross-media;Mountains discrete users;Granite;Implementation;32670;7591;1550
3;Tennessee Creative;81205;34422;Chief Fantastic;Senior;Credit Card Account leading-edge Sports;North Carolina Port;synthesize;program;46543;68683;33405
4;Sports;7143;87615;Florida world-class;bluetooth users SMTP;Functionality Concrete;Movies Soft monitor;Solutions interface;Refined Rubber Bacon;45914;38473;38464
5;Rustic Granite Pants;15240;67765;Solomon Islands Dollar SDD gold;back up;Assistant open-source;Industrial Regional Azerbaijanian Manat;Mouse;scalable;66538;698;41828
6;interface;17731;82028;copy Architect Handmade;Concrete array Refined;SMTP Applications withdrawal;Reactive Division;copying;Parkway Regional;9569;76326;85368
7;Sports enterprise;79245;16699;e-tailers Frozen;matrix silver virtual;magenta;Isle composite Grocery;Executive Cambridgeshire;gold Metrics Profit-focused;58572;85669;57412
8;non-volatile;49327;56632;infrastructures tan;monitoring strategic web-readiness;transmitting;Hryvnia;Georgia New Taiwan Dollar;Swedish Krona Forward;14291;88211;60217
9;Handcrafted;44693;51748;Alaska;payment Tasty Fresh Chair;Fresh Bacon channels;matrix Forge parse;mint green;Infrastructure generate;86363;81097;26120
10;Berkshire Barbados Dollar Investment Account;75122;87260;killer;Refined Steel Cheese backing up;Berkshire transmitting;North Carolina;Tasty Cotton Bike analyzing;Creative;53414;1982;36496
